iteration, enemy_name, game_time(s), date, my_score, enemy_score, battle_result
0, naoyayosinaga, 250, 2020-09-01T14:28:45+00:00, 16, 3, WIN
1, naoyayosinaga, 250, 2020-09-01T14:46:07+00:00, 13, 8, WIN
2, naoyayosinaga, 250, 2020-09-01T15:03:45+00:00, 15, 4, WIN
3, naoyayosinaga, 250, 2020-09-02T00:56:06+00:00, 15, 2, WIN
4, naoyayosinaga, 250, 2020-09-02T01:01:28+00:00, 15, 4, WIN
5, naoyayosinaga, 250, 2020-09-02T01:06:57+00:00, 13, 3, WIN
6, naoyayosinaga, 250, 2020-09-02T01:12:57+00:00, 12, 11, WIN
7, naoyayosinaga, 250, 2020-09-02T01:18:43+00:00, 15, 3, WIN
8, naoyayosinaga, 250, 2020-09-02T01:25:13+00:00, 15, 2, WIN
9, naoyayosinaga, 250, 2020-09-02T01:31:53+00:00, 14, 3, WIN
10, naoyayosinaga, 250, 2020-09-02T01:37:34+00:00, 14, 3, WIN
