iteration, enemy_name, game_time(s), date, my_score, enemy_score, battle_result
0, sugarman1983, 250, 2020-09-02T03:19:42+00:00, 17, 6, WIN
1, sugarman1983, 250, 2020-09-02T03:25:47+00:00, 10, 0, WIN
2, sugarman1983, 250, 2020-09-02T03:31:45+00:00, 17, 6, WIN
3, sugarman1983, 250, 2020-09-02T03:38:30+00:00, 18, 4, WIN
4, sugarman1983, 250, 2020-09-02T03:46:56+00:00, 15, 5, WIN
5, sugarman1983, 250, 2020-09-02T03:52:42+00:00, 16, 5, WIN
6, sugarman1983, 250, 2020-09-02T03:58:51+00:00, 17, 4, WIN
7, sugarman1983, 250, 2020-09-02T04:05:11+00:00, 17, 6, WIN
8, sugarman1983, 250, 2020-09-02T04:12:30+00:00, 13, 10, WIN
9, sugarman1983, 250, 2020-09-02T04:17:51+00:00, 17, 6, WIN
10, sugarman1983, 250, 2020-09-02T04:23:12+00:00, 14, 3, WIN
11, sugarman1983, 250, 2020-09-02T04:29:27+00:00, 15, 4, WIN
12, sugarman1983, 250, 2020-09-02T04:35:09+00:00, 15, 5, WIN
13, sugarman1983, 250, 2020-09-02T04:41:48+00:00, 14, 3, WIN
14, sugarman1983, 250, 2020-09-02T04:47:19+00:00, 15, 5, WIN
15, sugarman1983, 250, 2020-09-02T04:55:04+00:00, 15, 5, WIN
16, sugarman1983, 250, 2020-09-02T05:01:11+00:00, 14, 4, WIN
17, sugarman1983, 250, 2020-09-02T05:07:31+00:00, 16, 6, WIN
18, sugarman1983, 250, 2020-09-02T05:13:38+00:00, 15, 4, WIN
19, sugarman1983, 250, 2020-09-02T05:19:32+00:00, 17, 6, WIN
20, sugarman1983, 250, 2020-09-02T05:25:22+00:00, 17, 7, WIN
21, sugarman1983, 250, 2020-09-02T05:31:39+00:00, 14, 4, WIN
22, sugarman1983, 250, 2020-09-02T05:38:04+00:00, 15, 5, WIN
23, sugarman1983, 250, 2020-09-02T05:45:13+00:00, 14, 4, WIN
24, sugarman1983, 250, 2020-09-02T05:50:59+00:00, 17, 5, WIN
25, sugarman1983, 250, 2020-09-02T05:58:53+00:00, 14, 9, WIN
26, sugarman1983, 250, 2020-09-02T06:05:27+00:00, 15, 5, WIN
27, sugarman1983, 250, 2020-09-02T06:11:37+00:00, 15, 4, WIN
28, sugarman1983, 250, 2020-09-02T06:18:14+00:00, 15, 5, WIN
29, sugarman1983, 250, 2020-09-02T06:25:16+00:00, 15, 3, WIN
30, sugarman1983, 250, 2020-09-02T06:31:30+00:00, 15, 8, WIN
31, sugarman1983, 250, 2020-09-02T06:38:04+00:00, 18, 8, WIN
32, sugarman1983, 250, 2020-09-02T06:43:58+00:00, 14, 4, WIN
33, sugarman1983, 250, 2020-09-02T06:50:33+00:00, 15, 4, WIN
34, sugarman1983, 250, 2020-09-02T06:56:33+00:00, 15, 5, WIN
35, sugarman1983, 250, 2020-09-02T07:03:04+00:00, 17, 6, WIN
36, sugarman1983, 250, 2020-09-02T07:10:04+00:00, 13, 17, LOSE
37, sugarman1983, 250, 2020-09-02T07:16:47+00:00, 16, 4, WIN
38, sugarman1983, 250, 2020-09-02T07:22:33+00:00, 18, 5, WIN
39, sugarman1983, 250, 2020-09-02T07:28:16+00:00, 13, 3, WIN
40, sugarman1983, 250, 2020-09-02T07:34:44+00:00, 14, 4, WIN
41, sugarman1983, 250, 2020-09-02T07:40:19+00:00, 17, 6, WIN
42, sugarman1983, 250, 2020-09-02T07:46:29+00:00, 16, 5, WIN
43, sugarman1983, 250, 2020-09-02T07:51:52+00:00, 18, 5, WIN
44, sugarman1983, 250, 2020-09-02T07:58:00+00:00, 14, 4, WIN
45, sugarman1983, 250, 2020-09-02T08:03:21+00:00, 12, 22, LOSE
46, sugarman1983, 250, 2020-09-02T08:09:49+00:00, 15, 9, WIN
47, sugarman1983, 250, 2020-09-02T08:16:58+00:00, 16, 6, WIN
48, sugarman1983, 250, 2020-09-02T08:22:19+00:00, 11, 12, LOSE
49, sugarman1983, 250, 2020-09-02T08:27:41+00:00, 16, 7, WIN
50, sugarman1983, 250, 2020-09-02T08:33:48+00:00, 15, 8, WIN
51, sugarman1983, 250, 2020-09-02T08:39:57+00:00, 13, 3, WIN
52, sugarman1983, 250, 2020-09-02T08:46:39+00:00, 16, 6, WIN
53, sugarman1983, 250, 2020-09-02T08:53:18+00:00, 16, 5, WIN
54, sugarman1983, 250, 2020-09-02T08:59:28+00:00, 15, 5, WIN
55, sugarman1983, 250, 2020-09-02T09:06:47+00:00, 16, 5, WIN
56, sugarman1983, 250, 2020-09-02T09:13:09+00:00, 16, 6, WIN
57, sugarman1983, 250, 2020-09-02T09:18:50+00:00, 17, 7, WIN
58, sugarman1983, 250, 2020-09-02T09:25:45+00:00, 14, 4, WIN
59, sugarman1983, 250, 2020-09-02T09:31:44+00:00, 17, 3, WIN
60, sugarman1983, 250, 2020-09-02T09:37:51+00:00, 14, 4, WIN
61, sugarman1983, 250, 2020-09-02T09:44:56+00:00, 18, 5, WIN
62, sugarman1983, 250, 2020-09-02T09:51:00+00:00, 12, 9, WIN
63, sugarman1983, 250, 2020-09-02T09:57:57+00:00, 13, 3, WIN
64, sugarman1983, 250, 2020-09-02T10:04:29+00:00, 16, 4, WIN
65, sugarman1983, 250, 2020-09-02T10:10:35+00:00, 14, 4, WIN
66, sugarman1983, 250, 2020-09-02T10:17:32+00:00, 16, 6, WIN
67, sugarman1983, 250, 2020-09-02T10:23:19+00:00, 16, 5, WIN
68, sugarman1983, 250, 2020-09-02T10:29:30+00:00, 14, 4, WIN
