iteration, enemy_name, game_time(s), date, my_score, enemy_score, battle_result
0, BolaDeArroz, 225, 2020-08-23T00:10:42+00:00, 15, 5, WIN
0, BolaDeArroz, 225, 2020-08-23T00:15:29+00:00, 14, 4, WIN
0, BolaDeArroz, 225, 2020-08-23T00:20:16+00:00, 15, 5, WIN
0, BolaDeArroz, 225, 2020-08-23T00:25:03+00:00, 16, 4, WIN
0, BolaDeArroz, 225, 2020-08-23T00:29:50+00:00, 6, 6, LOSE
0, BolaDeArroz, 225, 2020-08-23T00:34:37+00:00, 6, 6, LOSE
0, BolaDeArroz, 225, 2020-08-23T00:39:24+00:00, 14, 4, WIN
0, BolaDeArroz, 225, 2020-08-23T00:44:11+00:00, 15, 5, WIN
0, BolaDeArroz, 225, 2020-08-23T00:48:58+00:00, 13, 2, WIN
0, BolaDeArroz, 225, 2020-08-23T00:53:45+00:00, 5, 7, LOSE
0, BolaDeArroz, 225, 2020-08-23T00:58:32+00:00, 9, 6, WIN
0, BolaDeArroz, 225, 2020-08-23T01:03:19+00:00, 7, 8, LOSE
0, BolaDeArroz, 225, 2020-08-23T01:08:07+00:00, 16, 4, WIN
0, BolaDeArroz, 225, 2020-08-23T01:12:54+00:00, 16, 4, WIN
0, BolaDeArroz, 225, 2020-08-23T01:17:41+00:00, 11, 1, WIN
0, BolaDeArroz, 225, 2020-08-23T01:22:28+00:00, 11, 1, WIN
0, BolaDeArroz, 225, 2020-08-23T01:27:15+00:00, 5, 7, LOSE
0, BolaDeArroz, 225, 2020-08-23T01:32:03+00:00, 16, 4, WIN
0, BolaDeArroz, 225, 2020-08-23T01:36:50+00:00, 14, 4, WIN
0, BolaDeArroz, 225, 2020-08-23T01:41:37+00:00, 12, 2, WIN
0, BolaDeArroz, 225, 2020-08-23T01:46:24+00:00, 11, 15, LOSE
0, BolaDeArroz, 225, 2020-08-23T01:51:11+00:00, 13, 3, WIN
0, BolaDeArroz, 225, 2020-08-23T01:55:58+00:00, 5, 7, LOSE
0, BolaDeArroz, 225, 2020-08-23T02:00:46+00:00, 14, 9, WIN
0, BolaDeArroz, 225, 2020-08-23T02:05:33+00:00, 15, 5, WIN
0, BolaDeArroz, 225, 2020-08-23T02:10:20+00:00, 6, 9, LOSE
0, BolaDeArroz, 225, 2020-08-23T02:15:08+00:00, 16, 4, WIN
0, BolaDeArroz, 225, 2020-08-23T02:19:55+00:00, 5, 7, LOSE
0, BolaDeArroz, 225, 2020-08-23T02:24:42+00:00, 15, 5, WIN
0, BolaDeArroz, 225, 2020-08-23T02:29:29+00:00, 12, 6, WIN
0, BolaDeArroz, 225, 2020-08-23T02:34:16+00:00, 12, 2, WIN
0, BolaDeArroz, 225, 2020-08-23T02:39:03+00:00, 8, 7, WIN
0, BolaDeArroz, 225, 2020-08-23T02:43:50+00:00, 15, 4, WIN
0, BolaDeArroz, 225, 2020-08-23T02:48:37+00:00, 14, 4, WIN
0, BolaDeArroz, 225, 2020-08-23T02:53:24+00:00, 14, 3, WIN
0, BolaDeArroz, 225, 2020-08-23T02:58:12+00:00, 12, 3, WIN
0, BolaDeArroz, 225, 2020-08-23T03:02:59+00:00, 15, 5, WIN
0, BolaDeArroz, 225, 2020-08-23T03:07:46+00:00, 10, 5, WIN
0, BolaDeArroz, 225, 2020-08-23T03:12:34+00:00, 8, 4, WIN
0, BolaDeArroz, 225, 2020-08-23T03:17:21+00:00, 15, 5, WIN
0, BolaDeArroz, 225, 2020-08-23T03:22:08+00:00, 16, 3, WIN
