iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result, my_side
18, 4, 225, 2020-09-05T22:41:13+00:00, 14, 4, WIN, r
18, 5, 225, 2020-09-05T22:46:00+00:00, 13, 2, WIN, r
18, 7, 225, 2020-09-05T22:50:47+00:00, 13, 2, WIN, r
18, 8, 225, 2020-09-05T22:55:34+00:00, 16, 4, WIN, r
19, 4, 225, 2020-09-05T23:00:21+00:00, 13, 4, WIN, r
19, 5, 225, 2020-09-05T23:05:09+00:00, 17, 6, WIN, r
19, 7, 225, 2020-09-05T23:09:56+00:00, 13, 2, WIN, r
19, 8, 225, 2020-09-05T23:14:43+00:00, 9, 7, WIN, r
20, 4, 225, 2020-09-05T23:19:30+00:00, 11, 1, WIN, r
20, 5, 225, 2020-09-05T23:24:17+00:00, 17, 3, WIN, r
20, 7, 225, 2020-09-05T23:29:04+00:00, 11, 1, WIN, r
20, 8, 225, 2020-09-05T23:33:51+00:00, 12, 10, WIN, r
21, 4, 225, 2020-09-05T23:38:39+00:00, 15, 6, WIN, r
21, 5, 225, 2020-09-05T23:43:26+00:00, 11, 1, WIN, r
21, 7, 225, 2020-09-05T23:48:13+00:00, 11, 1, WIN, r
21, 8, 225, 2020-09-05T23:53:00+00:00, 17, 5, WIN, r
22, 4, 225, 2020-09-05T23:57:47+00:00, 7, 3, WIN, r
22, 5, 225, 2020-09-06T00:02:34+00:00, 15, 3, WIN, r
22, 7, 225, 2020-09-06T00:07:21+00:00, 11, 1, WIN, r
22, 8, 225, 2020-09-06T00:12:08+00:00, 14, 8, WIN, r
23, 4, 225, 2020-09-06T00:16:55+00:00, 14, 6, WIN, r
23, 5, 225, 2020-09-06T00:21:43+00:00, 13, 2, WIN, r
23, 7, 225, 2020-09-06T00:26:29+00:00, 11, 0, WIN, r
23, 8, 225, 2020-09-06T00:31:17+00:00, 10, 5, WIN, r
24, 4, 225, 2020-09-06T00:36:04+00:00, 13, 2, WIN, r
24, 5, 225, 2020-09-06T00:40:51+00:00, 12, 11, WIN, r
24, 7, 225, 2020-09-06T00:45:38+00:00, 11, 0, WIN, r
24, 8, 225, 2020-09-06T00:50:25+00:00, 6, 6, LOSE, r
