iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result, my_side
# commit
0, 1, 225, 2020-09-02T17:26:14+00:00, 10, 4, WIN, r
0, 2, 225, 2020-09-02T17:31:02+00:00, 15, 5, WIN, r
0, 3, 225, 2020-09-02T17:35:49+00:00, 17, 8, WIN, r
0, 4, 225, 2020-09-02T17:40:36+00:00, 16, 4, WIN, r
0, 5, 225, 2020-09-02T17:45:24+00:00, 14, 4, WIN, r
0, 6, 225, 2020-09-02T17:50:11+00:00, 3, 3, LOSE, r
0, 7, 225, 2020-09-02T17:54:58+00:00, 3, 2, WIN, r
0, 8, 225, 2020-09-02T17:26:14+00:00, 10, 4, WIN, r
1, 8, 225, 2020-09-02T17:31:02+00:00, 15, 5, WIN, r
2, 8, 225, 2020-09-02T17:35:49+00:00, 17, 8, WIN, r
3, 8, 225, 2020-09-02T17:40:36+00:00, 16, 4, WIN, r
4, 8, 225, 2020-09-02T17:45:24+00:00, 14, 4, WIN, r
5, 8, 225, 2020-09-02T17:50:11+00:00, 3, 3, LOSE, r
6, 8, 225, 2020-09-02T17:54:58+00:00, 3, 2, WIN, r
7, 8, 225, 2020-09-02T17:59:45+00:00, 3, 3, LOSE, r
8, 8, 225, 2020-09-02T18:04:32+00:00, 6, 3, WIN, r
9, 8, 225, 2020-09-02T18:09:20+00:00, 9, 7, WIN, r
10, 8, 225, 2020-09-02T18:14:07+00:00, 3, 5, LOSE, r
11, 8, 225, 2020-09-02T18:18:54+00:00, 6, 3, WIN, r
12, 8, 225, 2020-09-02T18:23:41+00:00, 4, 5, LOSE, r
13, 8, 225, 2020-09-02T18:28:28+00:00, 17, 11, WIN, r
14, 8, 225, 2020-09-02T18:33:15+00:00, 6, 5, WIN, r
15, 8, 225, 2020-09-02T18:38:02+00:00, 10, 8, WIN, r
16, 8, 225, 2020-09-02T18:42:49+00:00, 12, 5, WIN, r
17, 8, 225, 2020-09-02T18:47:37+00:00, 17, 7, WIN, r
18, 8, 225, 2020-09-02T18:52:24+00:00, 13, 5, WIN, r
19, 8, 225, 2020-09-02T18:57:11+00:00, 3, 3, LOSE, r
20, 8, 225, 2020-09-02T19:01:58+00:00, 5, 7, LOSE, r
21, 8, 225, 2020-09-02T19:06:46+00:00, 6, 2, WIN, r
22, 8, 225, 2020-09-02T19:11:33+00:00, 5, 7, LOSE, r
23, 8, 225, 2020-09-02T19:16:20+00:00, 8, 6, WIN, r
24, 8, 225, 2020-09-02T19:21:07+00:00, 3, 3, LOSE, r
25, 8, 225, 2020-09-02T19:25:54+00:00, 17, 6, WIN, r
26, 8, 225, 2020-09-02T19:30:41+00:00, 8, 7, WIN, r
27, 8, 225, 2020-09-02T19:35:28+00:00, 8, 9, LOSE, r
28, 8, 225, 2020-09-02T19:40:15+00:00, 6, 3, WIN, r
29, 8, 225, 2020-09-02T19:45:03+00:00, 3, 3, LOSE, r
30, 8, 225, 2020-09-02T19:49:50+00:00, 21, 13, WIN, r
31, 8, 225, 2020-09-02T19:54:37+00:00, 13, 5, WIN, r
32, 8, 225, 2020-09-02T19:59:25+00:00, 5, 5, LOSE, r
33, 8, 225, 2020-09-02T20:04:12+00:00, 2, 2, LOSE, r
34, 8, 225, 2020-09-02T20:08:59+00:00, 6, 3, WIN, r
35, 8, 225, 2020-09-02T20:13:46+00:00, 9, 9, LOSE, r
36, 8, 225, 2020-09-02T20:18:34+00:00, 5, 9, LOSE, r
37, 8, 225, 2020-09-02T20:23:21+00:00, 14, 7, WIN, r
38, 8, 225, 2020-09-02T20:28:08+00:00, 10, 4, WIN, r
39, 8, 225, 2020-09-02T20:32:55+00:00, 19, 6, WIN, r
40, 8, 225, 2020-09-02T20:37:42+00:00, 13, 2, WIN, r
41, 8, 225, 2020-09-02T20:42:29+00:00, 6, 2, WIN, r
42, 8, 225, 2020-09-02T20:47:16+00:00, 15, 5, WIN, r
43, 8, 225, 2020-09-02T20:52:03+00:00, 17, 9, WIN, r
44, 8, 225, 2020-09-02T20:56:50+00:00, 17, 7, WIN, r
45, 8, 225, 2020-09-02T21:01:37+00:00, 6, 7, LOSE, r
46, 8, 225, 2020-09-02T21:06:25+00:00, 14, 3, WIN, r
47, 8, 225, 2020-09-02T21:11:13+00:00, 6, 3, WIN, r
48, 8, 225, 2020-09-02T21:16:00+00:00, 17, 5, WIN, r
49, 8, 225, 2020-09-02T21:20:47+00:00, 6, 4, WIN, r
50, 8, 225, 2020-09-02T21:25:35+00:00, 3, 3, LOSE, r
51, 8, 225, 2020-09-02T21:30:22+00:00, 3, 3, LOSE, r
52, 8, 225, 2020-09-02T21:35:09+00:00, 11, 3, WIN, r
53, 8, 225, 2020-09-02T21:39:56+00:00, 15, 5, WIN, r
54, 8, 225, 2020-09-02T21:44:44+00:00, 8, 10, LOSE, r
55, 8, 225, 2020-09-02T21:49:32+00:00, 9, 10, LOSE, r
56, 8, 225, 2020-09-02T21:54:19+00:00, 10, 5, WIN, r
57, 8, 225, 2020-09-02T21:59:07+00:00, 15, 9, WIN, r
58, 8, 225, 2020-09-02T22:03:54+00:00, 6, 9, LOSE, r
59, 8, 225, 2020-09-02T22:08:42+00:00, 3, 2, WIN, r
60, 8, 225, 2020-09-02T22:13:29+00:00, 16, 6, WIN, r
61, 8, 225, 2020-09-02T22:18:16+00:00, 14, 4, WIN, r
62, 8, 225, 2020-09-02T22:23:03+00:00, 18, 5, WIN, r
63, 8, 225, 2020-09-02T22:27:50+00:00, 6, 5, WIN, r
64, 8, 225, 2020-09-02T22:32:37+00:00, 9, 8, WIN, r
65, 8, 225, 2020-09-02T22:37:24+00:00, 18, 8, WIN, r
66, 8, 225, 2020-09-02T22:42:11+00:00, 6, 5, WIN, r
67, 8, 225, 2020-09-02T22:46:59+00:00, 3, 2, WIN, r
68, 8, 225, 2020-09-02T22:51:46+00:00, 5, 3, WIN, r
69, 8, 225, 2020-09-02T22:56:33+00:00, 6, 6, LOSE, r
70, 8, 225, 2020-09-02T23:01:21+00:00, 3, 13, LOSE, r
71, 8, 225, 2020-09-02T23:06:08+00:00, 6, 3, WIN, r
72, 8, 225, 2020-09-02T23:10:55+00:00, 3, 3, LOSE, r
73, 8, 225, 2020-09-02T23:15:42+00:00, 3, 2, WIN, r
74, 8, 225, 2020-09-02T23:20:29+00:00, 12, 9, WIN, r
75, 8, 225, 2020-09-02T23:25:16+00:00, 17, 14, WIN, r
76, 8, 225, 2020-09-02T23:30:04+00:00, 12, 8, WIN, r
77, 8, 225, 2020-09-02T23:34:51+00:00, 15, 12, WIN, r
78, 8, 225, 2020-09-02T23:39:39+00:00, 3, 6, LOSE, r
79, 8, 225, 2020-09-02T23:44:26+00:00, 3, 3, LOSE, r
80, 8, 225, 2020-09-02T23:49:13+00:00, 12, 14, LOSE, r
81, 8, 225, 2020-09-02T23:54:00+00:00, 3, 2, WIN, r
82, 8, 225, 2020-09-02T23:58:48+00:00, 15, 2, WIN, r
83, 8, 225, 2020-09-03T00:03:35+00:00, 11, 6, WIN, r
84, 8, 225, 2020-09-03T00:08:22+00:00, 5, 4, WIN, r
85, 8, 225, 2020-09-03T00:13:09+00:00, 5, 2, WIN, r
86, 8, 225, 2020-09-03T00:17:57+00:00, 3, 4, LOSE, r
87, 8, 225, 2020-09-03T00:22:44+00:00, 17, 7, WIN, r
88, 8, 225, 2020-09-03T00:27:32+00:00, 13, 5, WIN, r
89, 8, 225, 2020-09-03T00:32:19+00:00, 6, 2, WIN, r
90, 8, 225, 2020-09-03T00:37:06+00:00, 13, 8, WIN, r
91, 8, 225, 2020-09-03T00:41:53+00:00, 7, 6, WIN, r
92, 8, 225, 2020-09-03T00:46:41+00:00, 7, 7, LOSE, r
93, 8, 225, 2020-09-03T00:51:28+00:00, 6, 2, WIN, r
94, 8, 225, 2020-09-03T00:56:15+00:00, 3, 3, LOSE, r
95, 8, 225, 2020-09-03T01:01:02+00:00, 5, 4, WIN, r
96, 8, 225, 2020-09-03T01:05:50+00:00, 6, 4, WIN, r
97, 8, 225, 2020-09-03T01:10:37+00:00, 13, 1, WIN, r
98, 8, 225, 2020-09-03T01:15:24+00:00, 12, 2, WIN, r
99, 8, 225, 2020-09-03T01:20:11+00:00, 10, 4, WIN, r
