iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result, my_side
0, 7, 225, 2020-09-05T14:57:51+00:00, 17, 3, WIN, r
1, 7, 225, 2020-09-05T15:02:39+00:00, 11, 0, WIN, r
2, 7, 225, 2020-09-05T15:07:27+00:00, 15, 5, WIN, r
3, 7, 225, 2020-09-05T15:12:15+00:00, 11, 1, WIN, r
4, 7, 225, 2020-09-05T15:17:03+00:00, 6, 8, LOSE, r
5, 7, 225, 2020-09-05T15:21:51+00:00, 11, 1, WIN, r
6, 7, 225, 2020-09-05T15:26:38+00:00, 11, 0, WIN, r
7, 7, 225, 2020-09-05T15:31:26+00:00, 13, 2, WIN, r
8, 7, 225, 2020-09-05T15:36:14+00:00, 15, 4, WIN, r
9, 7, 225, 2020-09-05T15:41:03+00:00, 11, 1, WIN, r
10, 7, 225, 2020-09-05T15:45:51+00:00, 13, 2, WIN, r
11, 7, 225, 2020-09-05T15:50:39+00:00, 11, 1, WIN, r
12, 7, 225, 2020-09-05T15:55:27+00:00, 11, 1, WIN, r
13, 7, 225, 2020-09-05T16:00:15+00:00, 13, 1, WIN, r
14, 7, 225, 2020-09-05T16:05:04+00:00, 11, 1, WIN, r
15, 7, 225, 2020-09-05T16:09:52+00:00, 15, 4, WIN, r
16, 7, 225, 2020-09-05T16:14:40+00:00, 11, 1, WIN, r
17, 7, 225, 2020-09-05T16:19:28+00:00, 11, 0, WIN, r
18, 7, 225, 2020-09-05T16:24:16+00:00, 11, 1, WIN, r
19, 7, 225, 2020-09-05T16:29:05+00:00, 11, 1, WIN, r
20, 7, 225, 2020-09-05T16:33:53+00:00, 6, 6, LOSE, r
21, 7, 225, 2020-09-05T16:38:41+00:00, 5, 6, LOSE, r
22, 7, 225, 2020-09-05T16:43:29+00:00, 11, 1, WIN, r
23, 7, 225, 2020-09-05T16:48:17+00:00, 8, 6, WIN, r
24, 7, 225, 2020-09-05T16:53:05+00:00, 13, 2, WIN, r
25, 7, 225, 2020-09-05T16:57:53+00:00, 11, 1, WIN, r
26, 7, 225, 2020-09-05T17:02:41+00:00, 12, 2, WIN, r
27, 7, 225, 2020-09-05T17:07:29+00:00, 13, 2, WIN, r
28, 7, 225, 2020-09-05T17:12:17+00:00, 14, 4, WIN, r
29, 7, 225, 2020-09-05T17:17:05+00:00, 13, 2, WIN, r
30, 7, 225, 2020-09-05T17:21:53+00:00, 15, 2, WIN, r
31, 7, 225, 2020-09-05T17:26:42+00:00, 14, 4, WIN, r
32, 7, 225, 2020-09-05T17:31:30+00:00, 11, 1, WIN, r
