iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result, my_side
0, 8, 225, 2020-09-03T13:49:38+00:00, 13, 2, WIN, r
1, 8, 225, 2020-09-03T13:54:27+00:00, 6, 2, WIN, r
2, 8, 225, 2020-09-03T13:59:14+00:00, 12, 1, WIN, r
3, 8, 225, 2020-09-03T14:04:01+00:00, 6, 6, LOSE, r
4, 8, 225, 2020-09-03T14:08:48+00:00, 12, 2, WIN, r
5, 8, 225, 2020-09-03T14:13:35+00:00, 15, 5, WIN, r
6, 8, 225, 2020-09-03T14:18:22+00:00, 5, 14, LOSE, r
7, 8, 225, 2020-09-03T14:23:09+00:00, 9, 6, WIN, r
8, 8, 225, 2020-09-03T14:27:57+00:00, 12, 2, WIN, r
9, 8, 225, 2020-09-03T14:32:44+00:00, 13, 3, WIN, r
10, 8, 225, 2020-09-03T14:37:31+00:00, 10, 8, WIN, r
11, 8, 225, 2020-09-03T14:42:18+00:00, 15, 14, WIN, r
12, 8, 225, 2020-09-03T14:47:06+00:00, 7, 3, WIN, r
13, 8, 225, 2020-09-03T14:51:53+00:00, 17, 7, WIN, r
14, 8, 225, 2020-09-03T14:56:41+00:00, 6, 2, WIN, r
15, 8, 225, 2020-09-03T15:01:28+00:00, 5, 13, LOSE, r
16, 8, 225, 2020-09-03T15:06:15+00:00, 16, 4, WIN, r
17, 8, 225, 2020-09-03T15:11:06+00:00, 12, 2, WIN, r
18, 8, 225, 2020-09-03T15:15:56+00:00, 16, 4, WIN, r
19, 8, 225, 2020-09-03T15:20:44+00:00, 14, 4, WIN, r
20, 8, 225, 2020-09-03T15:25:31+00:00, 17, 6, WIN, r
21, 8, 225, 2020-09-03T15:30:18+00:00, 16, 10, WIN, r
22, 8, 225, 2020-09-03T15:35:05+00:00, 6, 7, LOSE, r
23, 8, 225, 2020-09-03T15:39:52+00:00, 13, 10, WIN, r
24, 8, 225, 2020-09-03T15:44:40+00:00, 11, 13, LOSE, r
25, 8, 225, 2020-09-03T15:49:27+00:00, 13, 3, WIN, r
26, 8, 225, 2020-09-03T15:54:14+00:00, 12, 2, WIN, r
27, 8, 225, 2020-09-03T15:59:01+00:00, 9, 6, WIN, r
28, 8, 225, 2020-09-03T16:03:48+00:00, 6, 4, WIN, r
29, 8, 225, 2020-09-03T16:08:35+00:00, 9, 6, WIN, r
30, 8, 225, 2020-09-03T16:13:23+00:00, 9, 5, WIN, r
